1,Clemson,9-3,1.37,1.05,1,.254,1,.182,1,.545,2,.130,2,.238,6,.130,48
2,TCU,11-1,1.15,.86,3,.323,3,.268,8,.538,1,.144,6,.267,13,.194,5
3,Mississippi,8-4,1.09,.78,5,.344,8,.246,4,.640,15,.132,3,.207,1,.184,10
4,Virginia Tech,6-6,.92,.59,10,.378,21,.353,42,.660,32,.167,9,.252,9,.105,93
5,Florida,6-5,.92,.65,8,.361,13,.272,9,.657,27,.175,12,.267,12,.197,4
6,Stanford,7-5,.81,.54,12,.360,12,.250,6,.712,63,.168,10,.236,5,.088,113
7,Alabama,11-2,.80,.53,13,.378,20,.280,12,.662,33,.142,5,.214,2,.128,54
8,Utah,8-4,.77,.39,20,.402,31,.313,24,.718,67,.195,21,.271,14,.128,57
9,Penn State,7-6,.76,.90,2,.293,2,.204,2,.577,3,.129,1,.223,3,.129,53
10,Ohio State,14-1,.76,.51,15,.337,6,.247,5,.628,12,.203,24,.324,34,.157,20
11,Washington,7-6,.75,.52,14,.418,40,.350,41,.684,39,.190,19,.278,17,.165,15
12,Arkansas,6-6,.73,.31,28,.382,24,.321,28,.625,11,.217,30,.347,47,.142,35
13,Louisville,8-4,.70,.80,4,.334,5,.284,13,.583,4,.141,4,.242,7,.173,12
14,Louisiana Tech,9-4,.68,.46,16,.382,23,.328,33,.632,13,.191,20,.302,23,.204,2
15,Utah State,9-4,.68,.56,11,.363,14,.277,11,.704,52,.185,16,.263,10,.154,21
16,Texas,6-7,.66,.43,18,.364,15,.287,14,.643,17,.182,14,.283,19,.130,49
17,Marshall,12-1,.61,.44,17,.390,30,.303,21,.742,87,.181,13,.243,8,.116,72
18,Temple,5-6,.60,.75,6,.387,28,.319,26,.657,26,.149,7,.227,4,.134,43
19,LSU,7-5,.57,.39,19,.358,11,.294,17,.618,9,.184,15,.298,21,.103,96
20,Mississippi State,9-3,.54,.37,21,.407,35,.307,22,.656,25,.188,17,.287,20,.143,34
21,Virginia,4-7,.54,.32,25,.384,25,.288,15,.689,41,.212,26,.308,25,.144,32
22,Missouri,10-3,.53,.32,27,.379,22,.297,18,.745,90,.196,22,.263,11,.118,69
23,Boise State,12-2,.53,.36,22,.377,19,.321,27,.600,6,.216,29,.360,59,.151,26
24,Georgia,9-3,.48,.30,30,.385,26,.325,32,.654,23,.236,44,.361,62,.189,7
25,Memphis,9-3,.43,.63,9,.330,4,.259,7,.599,5,.166,8,.277,15,.153,24
26,Michigan,5-7,.42,.33,23,.369,16,.301,19,.680,38,.189,18,.277,16,.066,125
27,Arizona State,9-3,.41,.24,32,.428,45,.357,45,.724,73,.230,39,.318,31,.158,19
28,Oregon,12-2,.41,.00,54,.485,83,.396,74,.757,98,.237,45,.313,28,.191,6
29,Florida International,3-7,.40,.31,29,.450,62,.388,64,.706,56,.246,53,.348,50,.198,3
30,Syracuse,2-9,.40,.26,31,.405,33,.369,54,.686,40,.215,27,.313,29,.149,29
31,Michigan State,10-2,.39,.32,26,.353,10,.309,23,.606,7,.226,37,.373,70,.161,18
32,Central Florida,8-4,.39,.70,7,.338,7,.291,16,.612,8,.171,11,.280,18,.171,13
33,West Virginia,6-6,.36,.06,45,.430,46,.357,46,.691,42,.224,34,.325,35,.073,123
34,Air Force,9-3,.36,.05,47,.449,61,.388,63,.711,61,.232,40,.327,36,.120,66
35,Arizona,10-4,.35,-.11,61,.451,64,.366,53,.727,78,.246,52,.338,42,.137,41
36,Tennessee,6-6,.31,.11,39,.376,18,.272,10,.651,21,.235,41,.361,61,.121,64
37,South Alabama,6-7,.31,-.06,58,.449,60,.376,58,.712,62,.250,57,.351,52,.109,89
38,Wisconsin,10-3,.30,.32,24,.346,9,.244,3,.639,14,.197,23,.309,26,.095,103
39,USC,9-4,.30,.04,48,.444,57,.359,47,.720,68,.236,42,.327,37,.134,46
40,Oklahoma,8-5,.28,.14,37,.386,27,.319,25,.654,24,.216,28,.330,38,.118,70
41,Minnesota,7-5,.23,.08,43,.424,43,.331,34,.659,31,.239,49,.363,64,.174,11
42,Nebraska,8-4,.21,.15,33,.375,17,.324,31,.647,19,.222,31,.343,44,.124,59
43,Northwestern,4-7,.19,.15,36,.439,50,.364,50,.659,29,.242,50,.368,65,.167,14
44,Baylor,10-2,.18,.03,49,.409,36,.357,44,.651,22,.248,56,.381,73,.134,44
45,UTSA,4-8,.17,.15,35,.415,38,.364,51,.648,20,.207,25,.319,32,.110,83
46,San Diego State,6-6,.16,.09,42,.406,34,.322,30,.699,46,.226,36,.323,33,.150,27
