1,Alabama,13-1,1.22,.96,1,.288,1,.207,2,.593,1,.107,1,.181,1,.119,63
2,Washington,6-6,.95,.50,16,.405,31,.325,33,.681,34,.174,18,.255,18,.159,12
3,Boston College,1-9,.94,.81,2,.331,5,.241,5,.651,18,.119,2,.183,2,.151,19
4,Oklahoma,11-2,.81,.41,23,.362,10,.295,20,.600,3,.194,26,.323,38,.139,32
5,Clemson,13-1,.81,.56,12,.330,4,.258,8,.601,4,.174,19,.290,25,.124,55
6,Northwestern,9-3,.78,.61,8,.363,12,.263,10,.698,51,.154,9,.221,6,.114,69
7,West Virginia,7-5,.76,.40,24,.397,27,.297,23,.692,48,.186,24,.269,21,.173,9
8,Toledo,10-2,.76,.47,20,.411,39,.341,46,.748,89,.168,16,.224,8,.140,31
9,Ohio State,12-1,.73,.67,5,.327,3,.236,4,.629,9,.139,4,.221,5,.106,84
10,Utah,10-3,.72,.49,17,.404,29,.331,39,.717,64,.197,28,.275,22,.204,2
11,Appalachian State,10-2,.69,.64,6,.369,13,.283,15,.656,22,.160,10,.244,13,.145,27
12,Georgia,9-3,.67,.75,3,.345,8,.248,6,.594,2,.138,3,.232,11,.138,33
13,Wisconsin,10-3,.67,.74,4,.305,2,.197,1,.629,10,.140,5,.222,7,.126,48
14,Boise State,8-4,.63,.58,10,.340,7,.268,11,.603,5,.184,22,.306,31,.177,5
15,San Diego State,10-3,.63,.57,11,.346,9,.228,3,.657,23,.168,15,.255,17,.175,6
16,Vanderbilt,3-8,.62,.50,15,.408,35,.366,56,.677,33,.143,6,.211,3,.113,73
17,Texas A&M,7-5,.57,.36,26,.395,26,.290,16,.616,8,.178,21,.289,24,.103,88
18,Michigan State,12-2,.53,.20,34,.422,47,.358,53,.673,30,.227,39,.337,49,.167,10
19,Temple,10-4,.52,.43,22,.371,14,.301,24,.647,16,.174,17,.269,20,.132,43
20,TCU,10-2,.50,-.01,50,.407,33,.340,45,.649,17,.250,52,.385,73,.077,118
21,Marshall,9-3,.50,.63,7,.371,16,.283,14,.656,21,.149,8,.228,10,.149,21
22,Florida,10-4,.50,.55,13,.335,6,.272,12,.609,6,.168,14,.276,23,.137,35
23,Houston,12-1,.49,.52,14,.387,24,.306,26,.641,13,.186,23,.290,26,.218,1
24,Florida State,9-3,.48,.46,21,.375,18,.250,7,.708,55,.161,11,.227,9,.088,106
25,Mississippi,9-3,.45,.32,29,.411,38,.294,19,.738,81,.186,25,.252,16,.110,78
26,Michigan,10-3,.44,.58,9,.372,17,.291,17,.659,24,.144,7,.218,4,.083,112
27,Louisiana Tech,8-4,.43,.30,30,.416,43,.336,42,.741,84,.223,37,.301,29,.122,58
28,Missouri,4-7,.42,.47,19,.383,23,.296,21,.683,39,.167,12,.244,14,.111,76
29,Penn State,7-6,.42,.35,27,.363,11,.261,9,.682,35,.210,29,.308,33,.115,68
30,Iowa,11-2,.42,.48,18,.394,25,.307,27,.700,52,.167,13,.238,12,.160,11
31,LSU,9-3,.40,-.06,57,.415,42,.322,31,.690,45,.264,67,.382,69,.093,97
32,Connecticut,5-7,.39,.38,25,.416,44,.336,43,.714,62,.175,20,.244,15,.159,13
33,Texas,5-7,.38,-.21,69,.478,73,.380,60,.722,68,.278,76,.385,71,.146,26
34,Georgia Southern,8-4,.33,.20,35,.405,32,.336,44,.642,14,.228,40,.354,56,.146,23
35,USC,8-6,.31,-.08,59,.481,75,.397,71,.752,94,.255,57,.339,51,.124,51
36,Baylor,9-3,.30,-.01,51,.415,41,.304,25,.682,38,.258,63,.379,67,.152,18
37,Auburn,6-6,.28,-.17,67,.521,106,.453,100,.786,113,.254,56,.323,39,.143,28
38,Utah State,5-7,.28,.20,36,.380,22,.281,13,.639,12,.257,61,.402,87,.132,42
39,Akron,7-5,.28,.24,32,.376,20,.293,18,.689,43,.230,43,.333,45,.148,22
40,South Florida,7-5,.27,.04,44,.454,61,.394,69,.730,77,.234,45,.320,36,.121,60
41,Arkansas State,8-4,.26,.33,28,.375,19,.329,35,.613,7,.245,49,.400,84,.184,3
42,Northern Illinois,7-6,.24,.17,37,.444,56,.399,72,.684,41,.216,33,.316,35,.146,24
43,UCLA,8-5,.24,-.02,52,.446,57,.387,63,.733,79,.219,35,.299,28,.130,44
44,Washington State,9-3,.23,-.03,53,.502,92,.438,94,.796,118,.241,47,.303,30,.153,16
