45,Stanford,12-2,.22,.02,45,.436,52,.395,70,.672,29,.212,31,.315,34,.088,107
46,Mississippi State,8-4,.21,-.06,58,.433,50,.352,47,.710,60,.217,34,.306,32,.094,96
47,BYU,8-4,.18,.21,33,.413,40,.331,37,.693,50,.229,41,.330,42,.136,37
48,Tennessee,8-4,.16,.17,38,.377,21,.318,28,.674,31,.196,27,.290,27,.087,108
49,Louisville,7-5,.15,.27,31,.371,15,.297,22,.635,11,.212,30,.333,44,.135,39
50,Southern Miss,8-5,.13,.04,43,.424,49,.376,59,.646,15,.231,44,.358,59,.129,45
51,Memphis,8-4,.13,-.33,80,.458,64,.388,64,.671,28,.289,83,.430,94,.114,70
52,Virginia Tech,6-6,.12,.01,47,.408,36,.321,30,.667,26,.250,53,.375,65,.122,59
53,Arizona State,5-7,.12,-.18,68,.446,58,.358,52,.683,40,.269,72,.395,83,.120,61
54,Georgia State,6-6,.09,.01,46,.460,66,.352,48,.829,124,.214,32,.259,19,.136,36
55,Illinois,4-7,.08,.09,40,.405,30,.331,36,.692,47,.226,38,.326,41,.113,74
56,Oklahoma State,9-3,.07,-.29,76,.463,69,.417,79,.727,71,.286,79,.393,82,.156,15
57,Miami,7-5,.06,-.21,70,.485,79,.422,83,.766,103,.255,58,.333,46,.146,25
58,Notre Dame,10-3,.04,-.24,73,.424,48,.359,54,.667,27,.257,62,.385,74,.069,121
59,Kent State,2-9,.00,.07,41,.421,45,.318,29,.709,59,.239,46,.337,50,.097,93
60,Ohio,7-5,-.01,.16,39,.421,46,.322,32,.682,36,.220,36,.322,37,.129,46
61,Central Michigan,6-6,-.03,-.03,54,.409,37,.336,41,.652,19,.244,48,.375,64,.096,95
62,Georgia Tech,2-9,-.04,-.28,75,.470,71,.367,57,.720,67,.288,82,.400,86,.102,91
63,Minnesota,6-7,-.05,.06,42,.404,28,.328,34,.693,49,.229,42,.330,43,.111,77
64,Western Kentucky,12-2,-.05,-.04,55,.452,59,.365,55,.727,70,.247,51,.339,52,.173,8
65,Maryland,2-9,-.06,-.54,95,.490,83,.420,82,.750,90,.329,98,.438,98,.107,83
66,North Carolina,9-3,-.07,-.14,62,.502,93,.434,91,.761,98,.246,50,.324,40,.157,14
67,Troy,3-8,-.07,-.12,61,.462,68,.356,50,.762,99,.287,81,.376,66,.123,56
68,Colorado,3-9,-.09,-.34,84,.518,104,.426,87,.804,122,.301,89,.374,63,.112,75
69,Navy,10-2,-.09,-.24,72,.485,78,.436,92,.676,32,.261,66,.387,75,.180,4
70,Nebraska,6-7,-.11,-.15,63,.441,54,.384,61,.689,44,.256,60,.372,61,.061,126
71,Iowa State,2-9,-.11,-.66,106,.507,98,.423,85,.728,74,.336,105,.462,106,.080,116
72,Kansas State,5-7,-.13,-.62,103,.503,94,.461,106,.750,92,.333,102,.444,100,.083,114
73,Middle Tennessee,6-6,-.13,-.05,56,.459,65,.385,62,.719,66,.253,55,.352,54,.137,34
74,Pittsburgh,7-5,-.14,-.34,82,.460,67,.413,76,.709,58,.260,65,.367,60,.110,80
75,East Carolina,4-7,-.15,-.16,65,.435,51,.393,67,.682,37,.265,69,.389,78,.091,101
76,Miami (OH),2-9,-.16,-.21,71,.456,63,.391,66,.728,72,.294,86,.404,88,.110,79
77,Wake Forest,2-9,-.16,-.29,77,.453,60,.357,51,.744,87,.256,59,.344,53,.064,123
78,North Carolina State,6-6,-.16,-.17,66,.408,34,.331,38,.664,25,.266,70,.400,85,.133,40
79,California,7-5,-.17,-.58,97,.545,113,.488,114,.781,112,.307,90,.393,81,.153,17
80,Virginia,3-8,-.20,-.34,83,.504,96,.438,93,.780,111,.291,85,.374,62,.118,64
81,Florida Atlantic,3-9,-.21,.00,48,.455,62,.354,49,.769,105,.259,64,.336,48,.150,20
82,Air Force,7-6,-.21,-.33,81,.440,53,.405,73,.653,20,.285,78,.436,97,.104,86
83,Buffalo,4-7,-.22,.00,49,.464,70,.374,58,.723,69,.277,75,.384,70,.109,82
84,Oregon,8-4,-.23,-.61,101,.514,103,.412,75,.788,114,.333,103,.423,91,.128,47
85,South Alabama,4-7,-.24,-.46,91,.490,84,.391,65,.707,54,.338,106,.479,112,.098,92
86,Bowling Green,10-4,-.26,-.30,78,.501,91,.440,95,.730,76,.277,74,.379,68,.119,62
87,Nevada,6-6,-.29,-.25,74,.509,101,.442,96,.756,96,.267,71,.353,55,.141,29
88,Cincinnati,6-6,-.30,-.41,88,.483,77,.410,74,.736,80,.286,80,.388,77,.086,110
89,Duke,7-5,-.31,-.12,60,.442,55,.336,40,.709,56,.252,54,.355,57,.106,85
90,Western Michigan,7-5,-.32,-.60,99,.499,90,.419,81,.754,95,.331,100,.439,99,.092,98
91,Arkansas,7-5,-.34,-.63,105,.497,88,.450,99,.750,91,.315,93,.419,90,.081,115
92,Colorado State,6-6,-.41,-.36,85,.487,80,.393,68,.770,107,.274,73,.356,58,.096,94
93,UTSA,3-9,-.42,-.31,79,.506,97,.446,98,.730,78,.284,77,.388,76,.135,38
94,Kentucky,4-7,-.44,-.16,64,.482,76,.415,77,.793,117,.264,68,.333,47,.116,65
95,New Mexico,6-6,-.45,-.51,93,.542,110,.519,120,.769,106,.299,88,.389,79,.122,57
96,Massachusetts,3-9,-.47,-.45,90,.499,89,.426,88,.738,82,.290,84,.393,80,.124,53
97,Louisiana Monroe,1-11,-.48,-.40,86,.474,72,.461,105,.709,57,.331,101,.467,109,.073,119
98,Charlotte,1-10,-.48,-.41,87,.507,99,.477,110,.728,73,.309,91,.424,92,.125,49
99,Tulane,2-9,-.50,-.45,89,.487,81,.417,80,.739,83,.322,95,.435,96,.113,71
100,Arizona,6-6,-.51,-.69,108,.495,86,.458,103,.743,86,.351,110,.473,110,.088,105
101,Syracuse,3-8,-.53,-.62,104,.527,107,.434,90,.773,108,.328,97,.424,93,.133,41
102,San Jose State,5-7,-.53,-.53,94,.489,82,.423,84,.717,63,.331,99,.462,105,.087,109
103,UTEP,4-7,-.53,-.55,96,.496,87,.459,104,.690,46,.317,94,.460,104,.063,124
104,Tulsa,6-7,-.54,-.70,109,.544,112,.478,111,.768,104,.350,109,.456,103,.113,72
105,Fresno State,2-9,-.55,-.78,112,.508,100,.472,109,.718,65,.376,114,.524,118,.103,90
106,Indiana,5-7,-.58,-.62,102,.503,95,.443,97,.703,53,.339,107,.483,113,.115,67
107,Louisiana Lafayette,3-8,-.68,-.61,100,.478,74,.429,89,.687,42,.313,92,.456,102,.092,100
108,Army,1-9,-.68,-.46,92,.492,85,.416,78,.765,100,.294,87,.385,72,.088,104
109,Purdue,1-10,-.73,-.85,113,.560,119,.545,122,.773,109,.367,111,.475,111,.141,30
110,South Carolina,3-8,-.74,-.58,98,.513,102,.454,102,.748,88,.322,96,.430,95,.174,7
111,North Texas,1-10,-.77,-1.09,116,.583,121,.556,123,.804,121,.402,118,.500,115,.125,50
112,Hawaii,2-10,-.79,-.72,110,.518,105,.425,86,.743,85,.343,108,.462,107,.057,127
113,Oregon State,1-10,-.80,-1.39,125,.618,125,.596,126,.805,123,.442,125,.549,123,.088,103
114,Old Dominion,4-7,-.80,-.74,111,.555,114,.471,108,.800,120,.369,112,.462,108,.115,66
115,Florida International,4-7,-.82,-.67,107,.534,109,.480,113,.796,119,.333,104,.419,89,.083,113
116,Texas Tech,6-6,-.85,-1.20,120,.560,118,.493,115,.791,116,.412,119,.521,116,.124,52
117,UNLV,2-9,-.86,-.85,114,.533,108,.453,101,.713,61,.372,113,.522,117,.085,111
118,SMU,2-9,-.88,-1.36,124,.556,115,.509,117,.766,102,.468,127,.611,128,.073,120
119,New Mexico State,3-9,-.98,-.95,115,.543,111,.508,116,.729,75,.387,116,.531,120,.110,81
120,Ball State,2-9,-.98,-1.11,117,.571,120,.509,118,.829,125,.376,115,.454,101,.103,89
121,Wyoming,2-9,-1.01,-1.16,118,.560,117,.510,119,.759,97,.402,117,.529,119,.089,102
122,Rutgers,3-8,-1.02,-1.16,119,.621,126,.571,125,.835,126,.413,120,.495,114,.124,54
123,Idaho,3-8,-1.09,-1.25,122,.595,124,.569,124,.776,110,.432,124,.557,124,.104,87
124,Texas State,2-9,-1.20,-1.40,126,.586,123,.541,121,.765,101,.429,122,.560,125,.067,122
125,Rice,4-7,-1.20,-1.31,123,.559,116,.470,107,.750,93,.429,121,.571,127,.045,128
126,Kansas,0-11,-1.21,-1.58,127,.649,128,.625,128,.850,128,.467,126,.549,122,.092,99
127,Central Florida,0-11,-1.25,-1.22,121,.585,122,.479,112,.789,115,.430,123,.544,121,.061,125
128,Eastern Michigan,1-11,-1.70,-1.61,128,.630,127,.605,127,.837,127,.473,128,.565,126,.078,117
