Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Air Force,103.0,61,3.40,11,3.29,67,43.4%,19,72.1%,40,12.9%,2,66.0,117,6.3%,96,12.4%,118
Akron,90.6,108,2.56,114,3.12,83,38.8%,78,70.6%,48,25.2%,123,102.7,56,4.1%,46,8.2%,69
Alabama,115.0,13,3.21,31,3.40,53,45.7%,6,75.0%,20,19.9%,88,104.0,54,6.9%,105,5.5%,29
Appalachian State,106.1,49,3.03,60,3.58,33,43.7%,15,62.7%,97,17.7%,49,156.1,18,2.2%,7,4.2%,15
Arizona,109.5,33,3.08,51,3.52,39,39.5%,71,67.6%,69,16.9%,35,70.6,113,7.1%,109,10.8%,112
Arizona State,89.4,112,2.86,88,2.94,96,33.9%,116,76.5%,15,16.1%,21,62.9,120,6.4%,97,11.7%,115
Arkansas,90.9,107,2.37,123,3.78,18,38.5%,79,49.0%,128,21.9%,109,87.7,92,7.9%,116,8.3%,72
Arkansas State,83.4,121,2.51,118,2.44,121,32.2%,120,61.0%,109,24.9%,122,76.8,109,4.8%,63,7.9%,65
Army,109.2,34,3.44,5,3.14,79,46.6%,3,77.3%,14,13.2%,5,101.3,64,2.6%,14,10.2%,105
Auburn,121.6,6,3.26,26,3.90,13,41.7%,40,68.3%,61,16.0%,17,105.8,49,5.4%,74,8.2%,69
Ball State,107.9,39,3.42,8,4.26,2,42.9%,23,69.4%,53,14.1%,8,104.8,50,3.7%,38,6.6%,46
Baylor,107.9,39,3.30,19,4.02,9,40.7%,59,74.0%,29,13.6%,7,109.8,43,4.3%,50,7.9%,65
Boise State,103.7,56,3.03,60,3.63,29,39.8%,68,73.5%,31,16.6%,30,147.9,20,3.8%,39,4.6%,18
Boston College,81.6,125,2.32,126,2.87,99,29.8%,128,62.5%,99,23.6%,118,80.1,104,8.1%,118,9.0%,86
Bowling Green,108.1,37,3.03,60,4.29,1,37.8%,92,68.5%,58,17.1%,40,95.8,74,3.4%,32,8.6%,78
Buffalo,101.4,73,2.84,91,3.73,23,39.3%,73,73.5%,31,18.4%,59,104.6,52,3.8%,39,8.3%,72
BYU,109.7,32,3.19,33,4.19,4,44.0%,14,68.5%,58,18.0%,54,96.1,71,4.8%,63,7.4%,58
California,111.8,24,3.19,33,3.46,47,42.5%,33,68.0%,66,16.3%,24,248.2,3,2.3%,9,3.0%,4
Central Florida,77.2,127,2.12,127,2.60,116,32.3%,119,62.7%,97,26.7%,127,93.1,85,5.2%,70,9.6%,96
Central Michigan,90.0,110,2.76,100,2.62,113,37.4%,99,77.4%,13,18.4%,59,86.5,94,4.2%,49,9.3%,91
Charlotte,88.0,113,2.87,83,2.95,93,38.5%,79,57.4%,115,19.3%,72,98.5,70,7.4%,111,5.5%,29
Cincinnati,104.6,52,2.90,82,3.52,39,36.6%,106,65.5%,81,19.4%,76,102.3,57,5.4%,74,5.6%,32
Clemson,124.6,4,3.10,50,3.67,25,41.0%,50,62.9%,95,17.6%,47,239.8,4,3.1%,26,2.3%,2
Colorado,108.1,37,3.08,51,3.27,69,38.5%,79,71.2%,45,18.9%,68,101.6,62,5.4%,74,8.2%,69
Colorado State,112.2,22,3.30,19,3.13,81,41.0%,50,78.0%,9,15.0%,11,214.1,7,1.9%,4,3.9%,10
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Connecticut,86.8,117,2.61,112,2.44,121,31.8%,121,63.6%,89,22.1%,112,82.8,97,5.4%,74,10.1%,101
Duke,109.8,31,2.97,68,3.27,69,38.0%,91,62.2%,101,16.9%,35,98.7,68,5.4%,74,8.6%,78
East Carolina,109.2,34,3.08,51,3.37,57,42.8%,27,68.6%,56,21.9%,109,142.7,22,5.1%,68,3.4%,5
Eastern Michigan,98.3,91,2.87,83,3.30,65,36.7%,105,65.3%,82,16.9%,35,224.2,6,1.8%,3,3.4%,5
Florida,95.0,99,2.73,105,3.48,44,35.3%,110,69.8%,52,17.2%,42,123.5,34,2.8%,18,10.1%,101
Florida Atlantic,107.3,42,3.21,31,3.52,39,40.7%,59,67.3%,73,17.9%,52,98.6,69,4.8%,63,6.4%,43
Florida International,101.6,71,3.19,33,3.81,15,40.7%,59,56.2%,120,18.6%,63,93.8,83,5.8%,87,7.2%,53
Florida State,121.0,7,2.96,69,3.52,39,42.8%,27,78.7%,8,19.3%,72,101.5,63,5.9%,89,10.2%,105
Fresno State,77.0,128,2.33,125,2.78,104,31.1%,123,61.4%,105,25.2%,123,92.1,86,6.8%,103,6.4%,43
Georgia,94.8,101,3.02,63,3.39,56,43.7%,15,59.1%,113,20.7%,94,102.0,58,5.4%,74,6.0%,38
Georgia Southern,87.0,116,2.75,101,2.68,109,36.9%,103,67.9%,68,19.4%,76,129.0,27,2.8%,18,5.2%,23
Georgia State,80.8,126,2.52,117,1.29,128,30.4%,124,68.0%,66,21.6%,106,143.8,21,2.5%,13,5.0%,20
Georgia Tech,110.8,29,3.15,40,3.09,84,41.0%,50,77.6%,12,16.9%,35,87.9,91,7.2%,110,8.4%,75
Hawaii,96.7,95,3.02,63,3.18,77,40.8%,58,64.6%,83,17.9%,52,107.6,48,6.0%,90,5.2%,23
Houston,87.7,114,2.50,119,2.97,92,35.2%,112,63.2%,93,21.8%,108,93.8,83,4.7%,61,7.6%,59
Idaho,98.4,89,2.96,69,3.58,33,35.3%,110,63.6%,89,17.1%,40,116.6,41,4.4%,55,4.8%,19
Illinois,94.4,102,2.63,111,3.24,74,38.1%,88,56.5%,118,24.0%,120,111.0,42,5.3%,71,5.6%,32
Indiana,100.0,80,2.68,108,3.21,76,35.4%,109,73.2%,35,21.5%,104,130.0,26,4.4%,55,6.4%,43
Iowa,113.6,15,3.19,33,2.78,104,37.6%,97,66.0%,75,17.3%,44,80.2,103,8.0%,117,8.9%,84
Iowa State,100.7,77,3.14,43,3.05,88,40.6%,62,68.1%,64,15.5%,12,77.0,107,6.5%,100,10.8%,112
Kansas,90.1,109,2.84,91,2.68,109,31.8%,121,73.5%,31,19.7%,86,104.7,51,4.1%,46,8.5%,76
Kansas State,103.1,60,3.19,33,3.53,37,45.5%,9,75.0%,20,19.1%,69,83.4,96,6.0%,90,9.2%,87
Kent State,97.5,93,2.54,115,3.79,17,38.2%,84,71.4%,42,21.2%,100,60.0,121,9.9%,125,9.2%,87
Kentucky,118.2,10,3.36,13,3.76,19,42.6%,31,80.0%,6,16.8%,34,82.6,98,6.0%,90,8.8%,81
Louisiana Tech,103.6,58,3.27,24,3.43,49,41.7%,40,68.6%,56,16.5%,28,119.6,38,4.3%,50,5.4%,25
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Louisville,133.1,2,3.67,1,3.41,50,49.6%,1,74.4%,25,15.7%,15,81.9,101,10.4%,126,7.9%,65
LSU,123.4,5,3.17,38,3.66,26,42.7%,29,63.6%,89,18.6%,63,108.8,44,4.5%,59,8.3%,72
Marshall,86.5,118,2.73,105,2.48,120,39.1%,75,64.3%,85,22.3%,113,95.8,74,3.6%,36,8.9%,84
Maryland,113.6,15,2.72,107,3.93,12,42.6%,31,52.5%,125,22.3%,113,57.4,124,7.6%,114,18.8%,128
Massachusetts,99.2,84,2.94,74,2.83,102,37.8%,92,52.2%,126,21.5%,104,71.1,110,5.6%,83,13.1%,122
Memphis,104.5,53,2.93,77,2.53,117,40.1%,64,69.4%,53,24.0%,120,94.5,81,5.8%,87,7.7%,61
Miami,96.6,97,2.85,90,2.84,101,37.1%,101,61.3%,107,22.9%,117,117.9,39,5.1%,68,5.9%,37
Miami-OH,98.1,92,2.84,91,3.01,90,36.4%,107,74.3%,26,18.6%,63,53.2,126,9.2%,122,12.7%,120
Michigan,102.3,64,2.92,79,2.62,113,38.4%,82,70.2%,50,19.5%,81,128.0,28,3.3%,27,9.2%,87
Michigan State,111.4,27,3.00,67,2.68,109,41.5%,44,62.9%,95,19.4%,76,107.9,46,2.7%,16,9.6%,96
Middle Tennessee,106.3,47,3.46,4,3.24,74,45.6%,7,58.3%,114,17.0%,39,211.7,9,1.6%,2,4.0%,12
Minnesota,92.7,104,2.94,74,2.79,103,39.9%,66,61.4%,105,20.3%,92,126.7,31,2.8%,18,7.7%,61
Mississippi State,118.6,9,3.32,17,4.17,5,44.8%,12,72.5%,39,16.4%,26,171.5,12,2.4%,11,5.6%,32
Missouri,92.4,105,3.06,56,2.95,93,40.9%,55,74.2%,27,18.1%,55,170.6,13,2.9%,23,3.8%,9
Navy,129.8,3,3.43,6,3.80,16,42.9%,23,79.8%,7,13.1%,3,53.1,127,12.3%,128,11.9%,116
NC State,105.9,50,2.86,88,3.37,57,38.2%,84,61.7%,103,18.4%,59,199.3,10,3.6%,36,3.7%,8
Nebraska,94.9,100,2.82,95,2.75,107,39.0%,76,78.0%,9,21.7%,107,185.0,11,2.8%,18,4.3%,17
Nevada,100.2,79,3.22,30,3.46,47,42.1%,36,85.0%,1,16.4%,26,95.1,78,5.6%,83,7.3%,55
New Mexico,106.7,46,3.42,8,3.30,65,43.6%,18,70.3%,49,16.0%,17,103.1,55,4.3%,50,6.7%,48
New Mexico State,107.1,43,2.93,77,4.20,3,45.6%,7,64.3%,85,21.2%,100,71.1,110,6.8%,103,9.8%,98
North Carolina,107.4,41,3.02,63,3.14,79,41.8%,39,52.0%,127,22.0%,111,158.6,17,4.0%,43,5.5%,29
North Texas,87.3,115,2.53,116,3.41,50,39.3%,73,63.6%,89,25.3%,125,68.7,114,6.9%,105,12.5%,119
Northern Illinois,104.5,53,3.13,46,3.31,63,41.6%,43,73.1%,37,17.6%,47,257.9,2,2.4%,11,1.9%,1
Northwestern,101.8,68,2.74,102,2.88,98,33.6%,118,66.7%,74,22.7%,115,87.0,93,5.5%,82,10.1%,101
