Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Notre Dame,113.5,18,2.74,102,4.09,8,41.4%,46,76.2%,16,16.6%,30,86.2,95,9.0%,120,5.4%,25
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Ohio,86.2,119,2.67,110,2.92,97,38.1%,88,64.4%,84,21.1%,98,133.2,24,2.6%,14,5.4%,25
Ohio State,134.6,1,3.42,8,3.97,10,48.0%,2,84.6%,2,13.4%,6,94.4,82,7.0%,108,8.6%,78
Oklahoma,117.1,12,3.30,19,3.47,45,41.3%,47,73.5%,31,18.1%,55,127.5,29,3.9%,41,6.3%,41
Oklahoma State,98.6,87,2.96,69,3.58,33,41.5%,44,68.3%,61,19.8%,87,96.0,72,5.3%,71,8.0%,68
Old Dominion,99.5,83,3.04,59,3.76,19,42.2%,35,71.8%,41,19.1%,69,124.7,33,2.0%,5,8.8%,81
Mississippi,113.6,15,3.01,66,3.65,28,39.6%,69,56.8%,116,19.6%,83,102.0,58,5.3%,71,7.6%,59
Oregon,108.7,36,3.25,28,3.62,30,45.0%,11,68.4%,60,17.3%,44,89.2,88,6.9%,105,6.7%,48
Oregon State,101.7,70,3.26,26,3.00,91,43.4%,19,62.1%,102,15.6%,13,95.8,74,5.7%,86,7.1%,52
Penn State,85.8,120,2.37,123,1.64,127,38.2%,84,56.5%,118,23.9%,119,132.1,25,4.4%,55,6.6%,46
Pittsburgh,102.1,65,3.05,57,2.50,119,40.9%,55,70.9%,47,21.1%,98,213.8,8,2.7%,16,3.6%,7
Purdue,92.2,106,2.58,113,3.68,24,34.9%,113,64.3%,85,22.8%,116,140.8,23,3.3%,27,6.3%,41
Rice,100.3,78,2.95,72,3.07,85,36.8%,104,73.9%,30,15.6%,13,82.1,99,4.3%,50,11.6%,114
Rutgers,103.0,61,2.68,108,3.37,57,38.3%,83,60.0%,111,20.9%,95,82.0,100,6.2%,93,12.8%,121
San Diego State,100.8,76,3.27,24,3.25,73,41.7%,40,75.0%,20,18.5%,62,64.1,119,9.3%,123,9.9%,100
San Jose State,95.3,98,3.08,51,2.38,123,38.1%,88,63.9%,88,19.5%,81,48.9,128,9.0%,120,15.4%,127
SMU,101.6,71,2.91,80,3.07,85,37.2%,100,62.5%,99,20.0%,90,126.4,32,2.8%,18,7.7%,61
South Alabama,107.0,44,3.13,46,3.40,53,37.1%,101,71.4%,42,17.8%,50,68.6,115,4.3%,50,9.2%,87
South Carolina,89.6,111,2.78,99,3.26,71,38.9%,77,60.4%,110,21.3%,103,66.3,116,7.5%,112,12.2%,117
South Florida,111.6,25,3.53,3,3.26,71,46.3%,4,81.0%,5,16.7%,33,121.8,35,3.4%,32,6.7%,48
Southern Miss,83.3,122,2.87,83,2.07,125,41.3%,47,71.2%,45,19.2%,71,99.2,67,6.4%,97,6.0%,38
Stanford,106.2,48,3.37,12,3.13,81,40.6%,62,65.9%,76,14.8%,9,54.8,125,11.4%,127,9.4%,93
Syracuse,98.6,87,2.40,122,2.62,113,30.4%,124,56.0%,122,20.9%,95,101.3,64,5.4%,74,9.5%,95
TCU,112.0,23,3.32,17,4.15,6,45.5%,9,65.9%,76,16.3%,24,99.3,66,6.2%,93,5.4%,25
Temple,100.0,80,3.05,57,2.71,108,39.6%,69,77.8%,11,19.9%,88,88.8,89,9.8%,124,3.9%,10
Tennessee,118.2,10,3.30,19,3.37,57,42.4%,34,70.2%,50,16.6%,30,102.0,58,4.9%,66,9.3%,91
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Texas,103.3,59,3.14,43,3.66,26,41.9%,38,73.2%,35,13.1%,3,71.1,110,5.4%,74,10.4%,108
Texas A&M,114.8,14,3.11,49,3.86,14,44.1%,13,61.7%,103,16.1%,21,166.9,14,3.0%,25,4.2%,15
Texas State,82.8,123,2.05,128,3.40,53,30.4%,124,53.5%,124,26.2%,126,58.3,123,6.4%,97,14.3%,126
Texas Tech,98.4,89,2.87,83,3.59,32,39.9%,66,65.9%,76,19.3%,72,148.9,19,2.3%,9,7.7%,61
Toledo,111.1,28,3.36,13,3.47,45,42.9%,23,83.3%,3,14.9%,10,166.4,16,2.9%,23,4.1%,14
Troy,93.8,103,2.80,97,2.64,112,33.9%,116,63.0%,94,19.6%,83,420.0,1,0.7%,1,2.8%,3
Tulane,99.0,85,2.84,91,2.87,99,37.6%,97,61.3%,107,18.1%,55,80.5,102,5.6%,83,10.2%,105
Tulsa,112.8,20,3.33,16,2.95,93,37.7%,96,71.4%,42,16.1%,21,107.7,47,3.3%,27,7.2%,53
UCLA,82.6,124,2.46,120,2.25,124,30.4%,124,56.7%,117,26.8%,128,127.1,30,4.1%,46,5.6%,32
UL-Lafayette,104.4,55,2.81,96,3.94,11,40.9%,55,54.7%,123,18.8%,67,65.1,118,8.1%,118,10.6%,110
UL-Monroe,99.0,85,3.07,55,3.02,89,34.7%,114,74.5%,24,16.0%,17,108.3,45,3.3%,27,5.6%,32
UNLV,99.9,82,3.14,43,3.31,63,41.0%,50,72.7%,38,17.8%,50,166.8,15,2.2%,7,5.1%,21
USC,112.6,21,3.24,29,2.78,104,39.5%,71,65.9%,76,19.4%,76,229.2,5,2.1%,6,4.0%,12
Utah,104.8,51,3.17,38,3.50,43,42.0%,37,59.7%,112,16.5%,28,95.0,79,5.0%,67,8.8%,81
Utah State,106.9,45,2.94,74,3.61,31,37.8%,92,74.2%,27,19.6%,83,95.3,77,4.0%,43,10.5%,109
UTEP,97.5,93,3.12,48,3.34,61,41.3%,47,65.7%,80,19.3%,72,77.7,106,6.5%,100,9.4%,93
UTSA,96.7,95,2.91,80,3.41,50,37.8%,92,69.2%,55,21.2%,100,60.0,121,7.5%,112,13.2%,124
Vanderbilt,101.9,67,3.15,40,3.06,87,38.2%,84,56.1%,121,17.2%,42,76.9,108,3.3%,27,13.2%,124
Virginia,100.9,75,2.74,102,3.28,68,43.4%,19,67.6%,69,20.1%,91,91.7,87,6.7%,102,6.8%,51
Virginia Tech,101.8,68,2.79,98,3.16,78,41.0%,50,68.2%,63,21.0%,97,101.7,61,4.6%,60,9.8%,98
Wake Forest,102.1,65,2.45,121,3.32,62,34.7%,114,68.1%,64,20.3%,92,79.6,105,7.8%,115,13.1%,122
Washington,113.3,19,3.54,2,2.53,117,46.0%,5,67.4%,72,16.0%,17,95.9,73,4.0%,43,10.6%,110
Washington State,111.6,25,3.43,6,3.53,37,43.7%,15,81.6%,4,12.0%,1,121.5,36,3.5%,34,7.3%,55
West Virginia,110.8,29,3.28,23,3.58,33,43.2%,22,67.6%,69,17.3%,44,104.4,53,4.4%,55,8.5%,76
Western Kentucky,101.0,74,3.15,40,3.74,22,42.9%,23,76.0%,18,18.3%,58,116.8,40,4.7%,61,5.1%,21
Western Michigan,118.8,8,3.36,13,4.11,7,42.7%,29,76.2%,16,15.7%,15,120.0,37,3.5%,34,6.0%,38
Wisconsin,103.7,56,2.95,72,1.95,126,36.0%,108,74.6%,23,19.4%,76,94.8,80,3.9%,41,10.1%,101
Wyoming,102.6,63,2.87,83,3.76,19,40.0%,65,76.0%,18,18.6%,63,88.6,90,6.2%,93,7.3%,55
