Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Air Force,92.7,100,3.17,37,3.17,77,36.8%,90,74.0%,20,16.1%,25,88.0,84,2.8%,20,8.8%,84
Akron,97.1,88,2.71,97,3.66,30,39.8%,58,69.0%,49,21.7%,101,99.7,70,3.2%,26,6.8%,51
Alabama,122.7,6,3.32,17,3.83,16,48.9%,2,66.7%,66,14.2%,9,196.8,6,1.9%,8,4.8%,23
Appalachian State,101.2,65,2.95,62,4.19,4,41.3%,39,70.9%,39,18.7%,57,170.2,8,2.8%,20,4.4%,18
Arizona,104.2,56,2.90,72,3.84,15,35.9%,96,63.8%,94,18.0%,47,90.0,83,3.8%,41,10.6%,108
Arizona State,98.8,82,2.99,58,3.44,48,40.9%,44,52.9%,122,21.7%,101,74.6,116,7.9%,115,10.4%,107
Arkansas,106.1,46,3.05,52,3.65,34,43.2%,25,70.0%,42,19.4%,69,150.8,17,4.6%,65,3.7%,9
Arkansas State,87.7,107,2.55,109,3.03,91,41.0%,42,52.7%,123,22.9%,111,93.4,79,5.0%,74,9.5%,99
Army,99.6,75,3.24,30,2.86,101,39.8%,58,64.9%,88,16.9%,31,33.3,128,17.4%,128,10.7%,110
Auburn,124.2,5,3.43,10,3.37,57,45.7%,13,78.6%,8,16.4%,27,132.2,28,3.7%,39,5.2%,31
Ball State,86.8,109,2.70,98,2.48,116,34.7%,107,66.0%,75,21.0%,93,164.8,10,2.1%,10,3.7%,9
Baylor,113.0,24,3.17,37,3.98,9,42.1%,29,75.0%,16,14.3%,10,108.0,55,5.0%,74,6.9%,55
Boise State,107.5,41,3.06,50,3.39,55,40.5%,50,78.8%,6,20.1%,76,131.6,29,3.7%,39,5.9%,39
Boston College,114.8,20,2.79,88,3.65,34,41.0%,42,71.7%,34,19.7%,72,77.9,106,6.9%,103,9.9%,102
Bowling Green,94.9,92,2.80,85,2.98,93,35.8%,97,69.8%,43,21.6%,100,117.3,43,2.8%,20,6.7%,49
Buffalo,93.9,96,2.87,79,3.66,30,37.1%,87,63.4%,96,21.5%,98,87.1,86,4.5%,61,4.4%,18
BYU,116.0,18,3.18,32,4.05,8,43.7%,22,76.9%,13,17.6%,43,86.3,87,5.6%,83,9.1%,91
California,107.0,44,2.97,61,4.24,3,41.7%,34,66.7%,66,18.2%,49,122.4,37,2.6%,17,7.7%,72
Central Florida,86.0,111,2.45,118,2.51,114,34.3%,111,64.6%,89,25.0%,121,103.0,63,5.9%,88,4.8%,23
Central Michigan,95.0,91,2.91,71,3.44,48,39.0%,70,65.9%,78,20.8%,87,78.3,105,4.0%,47,10.6%,108
Cincinnati,110.2,35,3.07,45,3.12,82,40.3%,54,69.0%,49,14.8%,15,145.9,20,3.2%,26,5.3%,32
Clemson,92.6,101,2.66,103,3.32,60,36.3%,95,50.8%,126,20.8%,87,136.2,26,2.1%,10,7.5%,67
