Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Colorado,94.1,95,2.74,92,3.40,54,36.5%,91,56.9%,117,20.2%,77,162.2,11,3.5%,33,3.8%,11
Colorado State,103.0,62,3.12,41,3.64,36,41.5%,35,67.7%,63,18.8%,60,104.2,61,4.9%,72,7.9%,75
Connecticut,85.5,115,2.32,123,2.70,109,32.6%,118,53.6%,120,27.6%,126,67.7,120,5.6%,83,11.5%,117
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Duke,116.2,15,3.33,16,3.43,52,41.1%,41,65.6%,80,12.9%,3,204.7,4,1.7%,7,4.8%,23
East Carolina,107.4,42,3.04,55,3.94,12,45.3%,15,59.6%,112,17.2%,37,118.6,42,4.0%,47,7.0%,60
Eastern Michigan,99.0,80,2.93,65,3.37,57,34.8%,106,62.2%,103,22.6%,110,48.7,126,8.2%,118,13.2%,124
Florida,100.0,74,2.59,108,3.56,39,37.4%,83,73.5%,24,19.4%,69,113.8,48,2.9%,23,6.8%,51
Florida Atlantic,103.3,60,3.11,42,3.55,40,38.9%,71,63.4%,96,17.1%,36,150.1,18,3.5%,33,5.3%,32
Florida International,77.3,124,2.46,117,2.44,119,34.7%,107,72.7%,27,18.7%,57,60.2,125,12.0%,126,9.2%,94
Florida State,106.4,45,2.80,85,3.03,91,38.1%,79,68.6%,56,20.9%,90,167.5,9,3.9%,44,4.2%,13
Fresno State,94.2,94,2.88,77,3.25,67,38.2%,76,72.7%,27,18.5%,54,98.1,72,4.5%,61,9.3%,96
Georgia,125.7,4,3.29,24,3.80,17,44.0%,21,65.3%,83,15.5%,18,116.5,45,5.0%,74,6.5%,47
Georgia Southern,99.0,80,3.44,9,3.77,23,48.6%,3,71.2%,37,12.8%,2,204.2,5,0.0%,1,6.0%,40
Georgia State,87.5,108,2.68,101,2.61,112,29.3%,127,59.5%,113,24.9%,120,83.0,93,7.5%,111,6.9%,55
Georgia Tech,130.9,3,3.62,3,3.91,14,47.6%,7,78.8%,6,12.2%,1,124.8,34,6.6%,98,3.4%,7
Hawaii,91.3,104,2.85,81,3.49,43,34.1%,113,79.2%,5,17.0%,34,80.9,98,6.1%,91,9.0%,88
Houston,94.9,92,2.88,77,2.66,111,40.4%,52,66.7%,66,22.0%,104,77.8,109,5.0%,74,10.8%,111
Idaho,100.1,72,3.10,43,3.97,10,38.4%,75,77.8%,10,14.0%,7,81.8,95,6.1%,91,9.8%,101
Illinois,92.9,99,2.65,104,2.38,121,37.4%,83,63.9%,93,24.2%,116,95.4,77,7.0%,106,6.1%,44
Indiana,112.2,27,3.18,32,3.05,89,41.4%,38,65.9%,78,20.7%,84,91.5,82,3.0%,25,12.1%,120
Iowa,93.8,97,2.70,98,3.69,27,37.1%,87,69.2%,45,17.7%,44,111.6,51,6.3%,95,2.8%,4
Iowa State,111.6,30,3.03,56,3.43,52,37.7%,81,61.3%,105,20.7%,84,103.4,62,4.0%,47,8.3%,79
Kansas,81.0,121,2.30,124,2.84,103,31.5%,122,51.3%,125,22.3%,107,76.1,112,7.9%,115,7.0%,60
Kansas State,85.9,113,2.50,113,3.09,86,38.9%,71,63.2%,99,22.0%,104,75.5,114,6.1%,91,8.8%,84
Kent State,64.2,127,1.82,127,2.46,117,33.7%,114,58.6%,114,31.2%,127,159.2,14,3.4%,31,3.4%,7
Kentucky,105.0,48,2.73,94,3.79,21,36.4%,93,66.7%,66,21.9%,103,77.9,106,4.5%,61,13.4%,125
Louisiana Tech,85.0,116,2.51,111,2.74,107,34.7%,107,67.9%,61,24.1%,115,160.6,13,2.9%,23,4.8%,23
Louisville,111.1,31,2.90,72,3.26,66,39.1%,68,61.0%,107,23.4%,113,80.3,100,5.7%,87,11.7%,119
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
LSU,116.2,15,3.36,14,2.73,108,43.1%,26,74.0%,20,15.8%,22,77.3,110,5.6%,83,11.3%,116
Marshall,116.5,14,3.61,4,4.37,1,47.1%,9,61.2%,106,13.4%,4,121.3,38,2.1%,10,9.9%,102
Maryland,108.2,40,2.86,80,2.96,95,37.3%,85,55.3%,118,20.7%,84,85.9,88,7.6%,112,9.1%,91
Massachusetts,97.2,87,2.64,105,3.55,40,39.5%,61,68.6%,56,22.0%,104,96.1,75,5.2%,79,4.7%,22
Memphis,85.6,114,2.53,110,3.32,60,38.5%,74,66.0%,75,21.2%,94,155.1,16,2.2%,13,5.4%,35
Miami,104.8,52,3.31,21,3.17,77,42.0%,31,69.2%,45,17.4%,38,123.8,36,4.7%,68,4.2%,13
Miami (Ohio),100.1,72,2.90,72,3.24,70,39.5%,61,50.0%,127,18.4%,51,66.4,121,8.4%,121,9.0%,88
Michigan,104.9,50,2.73,94,3.72,24,40.0%,55,71.9%,32,19.3%,67,98.1,72,7.1%,107,7.7%,72
Michigan State,112.0,28,3.26,29,3.27,64,40.9%,44,72.1%,30,16.5%,28,182.5,7,2.6%,17,4.3%,16
Middle Tennessee,104.9,50,3.18,32,4.10,7,40.5%,50,67.3%,64,17.0%,34,76.2,111,6.4%,96,9.9%,102
Minnesota,115.0,19,3.28,26,3.44,48,39.9%,56,66.7%,66,17.4%,38,78.7,104,4.1%,51,12.6%,121
Mississippi State,116.7,12,3.32,17,3.25,67,44.7%,17,77.1%,12,18.4%,51,109.5,53,3.2%,26,8.4%,81
Missouri,113.0,24,2.95,62,3.45,46,41.5%,35,76.4%,15,22.3%,107,111.6,51,4.6%,65,6.0%,40
Navy,111.9,29,3.51,8,3.95,11,47.1%,9,79.4%,4,13.5%,5,45.3,127,12.3%,127,14.9%,127
N.C. State,120.9,9,3.30,23,3.66,30,47.9%,6,74.0%,20,14.6%,11,77.9,106,5.3%,80,11.2%,115
Nebraska,119.8,11,3.29,24,3.79,21,42.0%,31,68.5%,58,16.5%,28,103.0,63,6.1%,91,5.7%,38
Nevada,108.9,38,3.05,52,3.48,44,38.2%,76,68.9%,52,16.9%,31,130.5,31,4.7%,68,5.0%,30
New Mexico,103.9,58,3.18,32,2.78,104,42.4%,28,62.7%,101,18.5%,54,80.9,98,8.3%,120,7.7%,72
New Mexico State,84.6,117,2.62,106,3.20,74,36.5%,91,72.1%,30,20.9%,90,361.5,1,0.9%,2,2.6%,3
North Carolina,105.0,48,3.06,50,2.34,123,41.9%,33,65.4%,82,21.4%,97,143.2,23,4.6%,65,4.6%,20
North Texas,79.3,123,2.49,115,2.37,122,34.9%,104,82.9%,1,21.5%,98,112.1,50,3.4%,31,7.6%,69
Northern Illinois,104.6,53,2.98,60,3.72,24,42.1%,29,65.2%,84,18.8%,60,132.9,27,1.6%,6,6.8%,51
Northwestern,98.4,83,2.85,81,3.08,87,33.0%,117,65.5%,81,18.4%,51,85.8,89,7.2%,108,6.9%,55
Notre Dame,110.4,32,2.92,69,3.53,42,43.4%,24,69.4%,44,17.5%,42,130.7,30,1.5%,5,9.2%,94
Ohio,103.1,61,2.99,58,3.62,37,39.1%,68,64.1%,91,17.4%,38,105.8,57,2.3%,14,8.9%,86
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Ohio State,133.7,2,3.38,11,3.80,17,49.5%,1,69.1%,48,14.7%,12,96.9,74,7.2%,108,6.0%,40
Oklahoma,120.6,10,3.32,17,3.29,62,44.2%,19,67.9%,61,16.2%,26,236.6,3,3.6%,37,1.6%,1
Oklahoma State,101.1,66,2.68,101,3.45,46,35.8%,97,64.4%,90,18.5%,54,63.1,124,8.2%,118,10.0%,105
Old Dominion,104.3,55,3.09,44,4.15,5,42.7%,27,70.4%,41,16.9%,31,116.6,44,3.2%,26,9.6%,100
Ole Miss,101.4,64,2.35,122,2.97,94,34.2%,112,65.0%,87,26.7%,124,85.6,90,5.0%,74,9.4%,97
Oregon,136.8,1,3.79,1,4.25,2,45.8%,12,68.8%,54,13.6%,6,119.0,41,4.1%,51,9.4%,97
Oregon State,100.2,71,3.07,45,2.50,115,39.5%,61,66.7%,66,18.8%,60,92.7,81,6.4%,96,8.1%,76
Penn State,86.0,111,2.24,125,2.41,120,30.7%,124,62.7%,101,26.8%,125,80.2,101,5.6%,83,12.6%,121
Pittsburgh,121.4,8,3.57,5,3.06,88,48.4%,4,77.4%,11,15.3%,17,101.5,68,8.1%,117,5.3%,32
Purdue,105.7,47,2.77,90,3.21,73,34.9%,104,79.5%,3,20.6%,82,115.0,46,4.4%,57,6.0%,40
Rice,92.4,102,2.62,106,3.59,38,37.2%,86,72.9%,26,20.6%,82,87.4,85,5.4%,81,9.0%,88
Rutgers,100.6,70,2.90,72,2.46,117,39.9%,56,66.0%,75,20.8%,87,143.5,22,4.4%,57,4.6%,20
San Diego State,110.4,32,3.54,7,3.67,29,40.6%,48,74.3%,18,14.7%,12,102.8,65,4.3%,55,7.5%,67
San Jose State,86.5,110,2.69,100,3.23,71,34.6%,110,65.1%,85,19.1%,65,129.9,32,3.5%,33,4.3%,16
SMU,109.8,36,3.14,39,3.11,84,35.4%,100,71.9%,32,18.8%,60,65.0,122,9.6%,124,6.9%,55
South Alabama,97.3,85,3.14,39,3.46,45,41.3%,39,60.7%,109,18.2%,49,81.5,96,6.7%,100,5.6%,36
South Carolina,113.2,23,3.07,45,3.19,76,41.5%,35,71.4%,35,19.7%,72,119.1,40,4.4%,57,6.6%,48
South Florida,75.2,126,2.42,120,2.13,126,31.8%,121,50.0%,127,25.3%,122,102.0,66,7.6%,112,3.2%,6
Southern Miss,80.1,122,2.18,126,2.90,99,32.2%,119,58.3%,115,25.9%,123,93.2,80,4.0%,47,10.9%,112
Stanford,103.6,59,3.18,32,3.14,79,35.1%,103,73.7%,23,15.9%,23,104.9,59,6.9%,103,4.8%,23
Syracuse,100.9,67,2.51,111,3.25,67,35.8%,97,51.7%,124,22.4%,109,113.2,49,4.5%,61,7.1%,63
TCU,109.5,37,3.36,14,2.85,102,44.8%,16,63.6%,95,19.4%,69,121.1,39,2.4%,15,8.3%,79
Temple,81.9,120,2.42,120,1.96,127,32.2%,119,64.1%,91,24.2%,116,108.6,54,3.9%,44,6.3%,45
Tennessee,110.4,32,3.05,52,3.20,74,40.4%,52,58.1%,116,21.3%,96,69.5,118,5.4%,81,13.6%,126
Texas,99.5,76,2.82,84,2.93,96,35.3%,102,74.4%,17,21.2%,94,95.7,76,4.1%,51,7.6%,69
Offense,Adj. LY,Rk,Std. Downs Line Yards,Rk,Pass. Downs Line Yards,Rk,Opp. Rate,Rk,Power Success Rate,Rk,Stuff Rate,Rk,Adj Sack Rate,Rk,Std. Downs Sack Rate,Rk,Pass. Downs Sack Rate,Rk
Texas A&M,116.1,17,3.32,17,2.93,96,44.1%,20,78.4%,9,15.6%,19,136.6,24,4.3%,55,4.2%,13
Texas State,100.7,69,3.31,21,3.66,30,46.7%,11,66.7%,66,17.4%,38,83.2,92,6.0%,90,7.2%,64
Texas Tech,113.4,22,3.07,45,4.15,5,43.5%,23,68.8%,54,20.2%,77,244.8,2,2.0%,9,3.1%,5
Toledo,113.5,21,3.57,5,3.39,55,48.4%,4,68.5%,58,14.1%,8,146.4,19,0.9%,2,7.0%,60
Troy,92.3,103,2.85,81,3.93,13,40.6%,48,68.9%,52,17.8%,45,114.1,47,3.9%,44,7.4%,66
Tulane,89.8,105,2.80,85,2.19,125,38.1%,79,60.0%,110,23.6%,114,104.3,60,4.7%,68,6.7%,49
Tulsa,102.6,63,2.93,65,3.27,64,37.0%,89,65.1%,85,15.7%,20,124.9,33,2.6%,17,6.8%,51
UAB,97.3,85,3.07,45,3.13,80,39.2%,66,66.7%,66,19.1%,65,75.9,113,7.7%,114,8.5%,82
UCLA,122.7,6,3.38,11,3.68,28,45.5%,14,71.1%,38,18.7%,57,74.8,115,4.9%,72,15.7%,128
UL-Lafayette,112.8,26,3.66,2,3.80,17,44.3%,18,81.6%,2,14.9%,16,79.9,103,6.8%,102,8.2%,78
UL-Monroe,75.9,125,2.49,115,2.31,124,33.1%,116,71.4%,35,20.4%,80,74.1,117,6.6%,98,10.0%,105
UNLV,98.1,84,3.02,57,3.22,72,35.4%,100,63.4%,96,15.7%,20,85.2,91,9.0%,123,4.9%,29
USC,104.4,54,2.79,88,3.44,48,38.2%,76,62.0%,104,19.3%,67,107.9,56,4.4%,57,8.9%,86
Utah,107.4,42,2.93,65,3.71,26,39.4%,65,70.8%,40,17.8%,45,82.3,94,8.4%,121,6.4%,46
Utah State,89.6,106,2.73,94,3.12,82,39.6%,60,55.3%,118,24.6%,118,101.9,67,6.7%,100,4.8%,23
UTEP,100.8,68,3.28,26,3.11,84,39.5%,61,76.6%,14,14.7%,12,136.5,25,7.3%,110,1.6%,1
UTSA,83.0,119,2.50,113,2.54,113,29.9%,125,74.3%,18,24.6%,118,93.6,78,5.9%,88,8.6%,83
Vanderbilt,96.6,89,2.89,76,3.36,59,37.5%,82,60.0%,110,20.5%,81,81.2,97,3.5%,33,11.6%,118
Virginia,99.5,76,2.92,69,2.75,106,33.2%,115,69.0%,49,18.9%,64,161.4,12,3.2%,26,3.9%,12
Virginia Tech,93.7,98,2.77,90,2.70,109,36.4%,93,60.9%,108,20.9%,90,80.0,102,3.8%,41,11.0%,113
Wake Forest,47.3,128,1.36,128,0.88,128,21.9%,128,53.3%,121,36.8%,128,64.8,123,11.0%,125,13.1%,123
Washington,99.3,78,2.95,62,3.13,80,40.7%,46,66.7%,66,20.2%,77,98.2,71,4.2%,54,9.1%,91
Washington State,83.7,118,2.44,119,2.88,100,31.2%,123,69.2%,45,23.2%,112,143.6,21,3.6%,37,6.9%,55
West Virginia,108.8,39,3.22,31,2.77,105,40.7%,46,62.8%,100,15.9%,23,105.4,58,4.8%,71,7.3%,65
Western Kentucky,104.2,56,3.28,26,2.91,98,39.2%,66,73.3%,25,20.0%,75,158.4,15,2.4%,15,5.6%,36
Western Michigan,99.1,79,2.93,65,3.04,90,38.8%,73,67.3%,64,16.8%,30,101.1,69,3.8%,41,8.1%,76
Wisconsin,116.7,12,3.37,13,3.80,17,47.5%,8,72.7%,27,19.7%,72,124.8,34,1.3%,4,7.6%,69
Wyoming,95.4,90,2.74,92,3.29,62,29.8%,126,68.3%,60,18.0%,47,68.6,119,6.9%,103,11.0%,113
