Team,Win-Loss Record,Win %,MOV,ATS +/-
Arizona,8-8-0,50.0%,-4.1,-2.2
Atlanta,11-7-0,61.1%,2.6,-1.0
Baltimore,9-7-0,56.2%,5.8,+3.5
Buffalo,9-8-0,52.9%,-3.8,-1.4
Carolina,11-6-0,64.7%,1.8,+1.0
Chicago,5-11-0,31.2%,-3.5,+1.2
Cincinnati,7-9-0,43.8%,-3.7,-2.8
Cleveland,0-16-0,0.0%,-11.0,-4.4
Dallas,9-7-0,56.2%,1.4,-0.8
Denver,5-11-0,31.2%,-5.8,-6.0
Detroit,9-7-0,56.2%,2.1,+1.6
Green Bay,7-9-0,43.8%,-4.0,-2.3
Houston,4-12-0,25.0%,-6.1,-2.6
Indianapolis,4-12-0,25.0%,-8.8,-3.3
Jacksonville,12-7-0,63.2%,8.2,+6.4
Kansas City,10-7-0,58.8%,4.4,+0.7
LA Chargers,9-7-0,56.2%,5.2,+3.8
LA Rams,11-6-0,64.7%,8.0,+5.5
Miami,6-10-0,37.5%,-7.0,-2.4
Minnesota,14-4-0,77.8%,5.8,+2.4
New England,15-4-0,79.0%,9.4,+0.8
New Orleans,12-6-0,66.7%,6.8,+3.7
NY Giants,3-13-0,18.8%,-8.9,-4.3
NY Jets,5-11-0,31.2%,-5.2,+1.1
Oakland,6-10-0,37.5%,-4.5,-4.3
Philadelphia,16-3-0,84.2%,10.8,+7.9
Pittsburgh,13-4-0,76.5%,5.6,-0.3
San Francisco,6-10-0,37.5%,-3.2,+1.1
Seattle,9-7-0,56.2%,2.1,-0.7
Tampa Bay,5-11-0,31.2%,-2.9,-0.8
Tennessee,10-8-0,55.6%,-2.3,-2.7
Washington,7-9-0,43.8%,-2.9,-1.9
