Derek Carr,OAK,2.55,4.9,6.7,-1.8,13.2,49.7,-2,553,4049,19,10,93.9,68.9,68,0.9
Ben Roethlisberger,PIT,2.55,4.8,7.7,-2.9,16.7,52.9,-0.9,675,5130,34,16,96.5,67,66.9,0.1
Jeff Driskel,CIN,2.56,4.6,7.8,-3.1,21,44.9,-1.8,176,1003,6,2,82.2,59.7,62.7,-3
Drew Brees,NO,2.59,5.9,7.1,-1.2,15.5,45.5,-1.6,489,3992,32,5,115.7,74.4,67,7.4
Andy Dalton,CIN,2.61,6.2,8.3,-2.2,17,47.5,-0.7,365,2566,21,11,89.6,61.9,62.4,-0.5
C.J. Beathard,SF,2.61,5,6.8,-1.8,14.8,48.6,-2.3,169,1252,8,7,81.8,60.4,68.1,-7.8
Tom Brady,NE,2.61,5.6,7.6,-2,13.9,49.9,-1.1,570,4355,29,11,97.7,65.8,67.7,-1.9
Philip Rivers,LAC,2.62,6.3,7.9,-1.6,15.7,55.3,-1.1,508,4308,32,12,105.5,68.3,66.2,2.1
Andrew Luck,IND,2.63,6.1,7.6,-1.5,18.2,51.7,-1.2,639,4593,39,15,98.7,67.3,66.6,0.7
Matthew Stafford,DET,2.63,4.7,7,-2.3,15.9,53.4,-2,555,3777,21,11,89.9,66.1,65.7,0.4
Ryan Fitzpatrick,TB,2.64,8.8,10.2,-1.4,20.7,53.7,1.2,246,2366,17,12,100.4,66.7,62.7,3.9
Eli Manning,NYG,2.65,5.3,7.2,-1.9,18.8,55.4,-2,576,4299,21,11,92.4,66,67.4,-1.4
Ryan Tannehill,MIA,2.65,4.9,7.9,-3,13.1,55.3,-1.5,274,1979,17,9,92.7,64.2,65.1,-0.9
Mitchell Trubisky,CHI,2.65,6,8.8,-2.7,17.7,60.7,0.1,434,3223,24,12,95.4,66.6,65.2,1.4
Carson Wentz,PHI,2.66,5.8,7.8,-2,16.2,55,-1.1,401,3074,21,7,102.2,69.6,66.4,3.2
Matt Ryan,ATL,2.68,6.5,8.5,-2,16.8,54.9,-0.5,608,4924,35,8,107.4,69.4,64.8,4.6
Nick Foles,PHI,2.68,4.6,6.7,-2,14.9,55.6,-2.5,195,1413,7,4,96,72.3,66.6,5.7
Case Keenum,DEN,2.68,5.6,7.5,-1.9,16,55.3,-1.5,586,3890,18,15,81.2,62.3,63.5,-1.2
Marcus Mariota,TEN,2.68,5.3,7.5,-2.2,12.7,51.1,-1.3,331,2528,11,8,92.3,68.9,67.9,1
Cam Newton,CAR,2.69,5,7.1,-2.1,17.2,40.5,-1.7,471,3395,24,13,94.2,67.9,64.8,3.1
Nick Mullens,SF,2.7,5.8,7.4,-1.6,12,37.8,-1.4,274,2277,13,10,90.8,64.2,64.7,-0.5
Joe Flacco,BAL,2.71,5.9,8.4,-2.5,17.2,50.6,-0.3,379,2465,12,6,84.2,61.2,64.1,-2.9
Kirk Cousins,MIN,2.74,5.6,7.4,-1.9,13,62.9,-1.2,606,4298,30,10,99.7,70.1,64.8,5.3
Blake Bortles,JAX,2.76,4.9,7,-2.1,16.9,46.8,-1.6,403,2718,13,11,79.8,60.3,67.2,-6.9
Josh Rosen,ARI,2.77,5.9,8.4,-2.5,21.6,58.6,-1,393,2278,11,14,66.7,55.2,59.4,-4.2
Brock Osweiler,MIA,2.78,4.8,7.7,-2.9,8.4,45.8,-0.4,178,1247,6,4,86,63.5,64.8,-1.3
Alex Smith,WAS,2.78,5.7,8.1,-2.4,17.7,48.9,-0.9,328,2180,10,5,85.7,62.5,62.5,0
Baker Mayfield,CLE,2.79,6.3,9.1,-2.8,15.6,63.8,0.1,486,3725,27,14,93.7,63.8,64.2,-0.5
Jameis Winston,TB,2.8,8.4,10.8,-2.4,20.4,54.8,1.5,378,2992,19,14,90.2,64.6,62.7,1.9
Dak Prescott,DAL,2.82,5.5,7.6,-2.1,17.7,48.2,-1.5,526,3885,22,8,96.9,67.7,65.6,2.1
Patrick Mahomes,KC,2.91,6.4,9.2,-2.8,12.2,60.7,0.2,580,5097,50,12,113.8,66,64.3,1.7
Sam Darnold,NYJ,2.91,6.5,9.3,-2.8,19.6,54.1,0.1,414,2865,17,15,77.6,57.7,59.8,-2.1
Cody Kessler,JAX,2.92,4.2,6.7,-2.5,12.2,44.6,-2.7,131,709,2,2,77.4,64.9,62.6,2.3
Jared Goff,LAR,2.94,7,8.8,-1.8,13.2,62.7,0.1,561,4688,32,12,101.1,64.9,63.9,1
Aaron Rodgers,GB,2.95,6,8.8,-2.8,13.7,61.4,-0.2,597,4442,25,2,97.6,62.3,62.9,-0.6
Deshaun Watson,HOU,3.01,6.8,8.8,-2,14.5,61.3,-0.2,505,4165,26,9,103.1,68.3,64.4,3.9
Russell Wilson,SEA,3.01,7.3,9.2,-1.9,13.8,54.4,0,427,3448,35,7,110.9,65.6,60.4,5.2
Lamar Jackson,BAL,3.1,6.5,8.4,-1.9,17.6,35.8,-0.4,170,1201,6,3,84.5,58.2,62.7,-4.5
Josh Allen,BUF,3.22,6.5,11,-4.6,13.8,63.9,1.4,320,2074,10,12,67.9,52.8,59.6,-6.8
