1,DAL,4.40,4.86,76%,4,18%,11,1.38,2,1.10,2,DEN,1,17,3.7%
2,NO,4.38,4.36,59%,22,18%,13,1.25,8,0.73,15,NE,2,26,4.4%
3,BAL,4.25,4.83,55%,28,21%,23,1.36,3,1.30,1,OAK,3,28,4.4%
4,SEA,4.23,4.62,78%,2,17%,6,1.34,4,0.80,11,BAL,4,19,4.5%
5,NE,4.22,4.11,59%,23,21%,27,1.22,11,0.59,23,CIN,5,23,4.6%
6,PIT,4.10,4.50,69%,8,15%,1,1.18,15,0.96,5,ARI,6,28,4.8%
7,KC,4.08,4.47,60%,21,17%,5,1.15,17,0.97,4,IND,7,29,4.8%
8,GB,4.08,4.39,59%,25,21%,24,1.29,5,0.83,8,HOU,8,26,4.9%
9,MIA,4.06,4.63,63%,17,18%,12,1.42,1,0.82,9,PHI,9,32,4.9%
10,SF,4.05,4.15,48%,32,21%,19,1.26,6,0.59,24,NYG,10,30,5.0%
11,CIN,4.03,4.53,68%,9,15%,3,1.16,16,1.04,3,ATL,11,31,5.1%
12,DEN,3.98,4.39,75%,5,18%,9,1.24,10,0.83,7,NO,12,30,5.3%
13,MIN,3.97,4.11,68%,10,15%,2,1.07,21,0.61,21,GB,13,30,5.5%
14,ATL,3.96,3.93,67%,13,21%,20,1.02,24,0.68,17,PIT,14,33,5.8%
15,CHI,3.94,3.97,68%,10,18%,10,1.21,12,0.38,32,CLE,15,31,6.0%
16,IND,3.94,3.91,52%,31,19%,15,1.20,13,0.46,29,DAL,16,30,6.1%
17,TEN,3.91,3.82,63%,17,17%,4,1.06,23,0.39,31,LAC,17,37,6.1%
18,LAR,3.90,4.08,53%,30,21%,29,1.18,14,0.71,16,CHI,18,41,6.3%
19,WAS,3.87,4.22,58%,27,20%,16,1.26,7,0.75,14,MIA,19,46,6.9%
20,NYJ,3.84,4.20,75%,5,18%,8,1.12,20,0.65,19,BUF,20,39,6.9%
21,DET,3.79,3.75,65%,15,22%,30,0.99,26,0.59,26,DET,21,45,6.9%
22,NYG,3.76,3.62,61%,20,20%,18,0.94,29,0.47,28,CAR,22,42,7.9%
23,HOU,3.72,4.07,67%,13,21%,25,1.07,22,0.80,12,LAR,23,47,8.6%
24,ARI,3.68,3.47,59%,24,19%,14,0.92,32,0.42,30,SEA,24,42,8.7%
25,CLE,3.63,3.79,61%,19,22%,31,1.13,19,0.60,22,NYJ,25,47,8.8%
26,BUF,3.62,3.83,63%,16,17%,7,0.94,30,0.64,20,TEN,26,50,8.9%
27,CAR,3.60,3.93,68%,10,20%,17,1.14,18,0.59,25,MIN,27,51,9.1%
28,OAK,3.56,3.80,55%,29,21%,21,0.94,31,0.65,18,KC,28,49,9.4%
29,PHI,3.52,4.36,81%,1,21%,26,1.24,9,0.93,6,TB,29,52,9.4%
30,JAC,3.52,3.98,58%,26,21%,22,0.96,27,0.81,10,SF,30,52,9.8%
31,LAC,3.29,3.51,78%,3,21%,28,0.95,28,0.52,27,WAS,31,58,9.8%
32,TB,3.21,3.73,69%,7,23%,32,0.99,25,0.79,13,JAC,32,71,11.3%

