1,NO,4.93,4.53,70%,9,14%,2,1.11,19,0.85,10,OAK,1,18,3.4%
2,IND,4.69,3.83,63%,15,13%,1,1.01,28,0.26,32,NYG,2,22,3.9%
3,PIT,4.68,4.47,71%,7,15%,4,1.40,4,0.52,25,WAS,3,23,3.9%
4,DAL,4.63,4.68,73%,3,15%,5,1.36,5,0.98,8,PIT,4,21,4.1%
5,TEN,4.63,4.39,68%,12,19%,13,1.27,9,0.72,13,NO,5,27,4.5%
6,WAS,4.57,4.67,72%,5,15%,3,1.15,14,1.06,6,NE,6,24,4.6%
7,ARI,4.54,4.28,72%,5,21%,20,1.23,12,0.82,11,CHI,7,28,4.9%
8,CHI,4.48,4.69,75%,1,18%,11,1.27,10,1.06,5,BAL,8,33,5.3%
9,NE,4.46,3.99,59%,22,20%,16,1.10,22,0.60,21,JAC,9,34,5.3%
10,ATL,4.40,4.66,61%,17,22%,23,1.30,7,1.20,3,PHI,10,33,5.4%
11,OAK,4.39,4.66,59%,23,17%,8,1.28,8,1.00,7,GB,11,35,5.5%
12,NYJ,4.29,4.25,74%,2,16%,7,1.23,11,0.67,16,HOU,12,32,5.6%
13,PHI,4.28,4.28,57%,25,18%,12,1.36,6,0.67,17,DAL,13,28,5.6%
14,CIN,4.20,3.91,60%,19,20%,15,1.04,26,0.55,23,KC,14,32,5.7%
15,HOU,4.16,4.14,61%,18,16%,6,1.14,16,0.61,20,TEN,15,28,5.7%
16,BUF,4.16,5.12,60%,20,22%,22,1.41,1,1.32,2,TB,16,35,5.9%
17,KC,4.10,3.91,59%,21,18%,10,1.04,27,0.57,22,MIN,17,38,6.0%
18,DEN,4.09,3.78,51%,29,21%,21,1.19,13,0.50,26,DET,18,37,6.1%
19,GB,4.08,4.36,49%,30,20%,17,1.15,15,0.94,9,CAR,19,36,6.2%
20,BAL,4.07,4.02,70%,9,20%,14,1.11,20,0.66,18,NYJ,20,35,6.3%
21,TB,4.01,3.61,47%,32,24%,32,1.06,25,0.45,28,ARI,21,41,6.3%
22,MIA,3.97,4.59,52%,28,24%,31,1.40,3,1.13,4,MIA,21,30,6.3%
23,LAC,3.97,3.92,66%,13,21%,19,1.01,30,0.76,12,ATL,23,37,6.5%
24,NYG,3.89,3.70,63%,14,17%,9,1.01,29,0.40,29,LAC,24,36,6.6%
25,CAR,3.83,3.90,73%,3,22%,24,1.10,23,0.63,19,SEA,25,42,6.9%
26,SEA,3.77,3.82,53%,27,23%,30,1.12,18,0.70,15,CIN,26,41,7.3%
27,JAC,3.73,3.80,58%,24,20%,18,1.06,24,0.55,24,DEN,27,40,7.4%
28,CLE,3.73,4.82,71%,7,22%,27,1.40,2,1.36,1,IND,28,44,7.6%
29,LAR,3.66,3.23,61%,16,22%,28,0.89,31,0.30,30,LAR,29,49,8.1%
30,MIN,3.64,3.15,47%,31,22%,26,0.81,32,0.28,31,SF,30,47,8.4%
31,DET,3.49,3.64,56%,26,23%,29,1.10,21,0.47,27,BUF,31,46,9.3%
32,SF,3.46,3.99,69%,11,22%,25,1.12,17,0.72,14,CLE,32,66,10.6%
